"temp1","temp2","temp3","temp4","temp5","jd1","jd2","jd3","jd4","jd5","aspect","mast1","mast2","mast3","mast4","mast5","precl","presh","prepatch","pre04","pre2","postcl","postsh","postpatch","post04","post2"
76.25,78.89,75.33,85,77.22,197,203,208,187,185,1,0.516666667,0.40625,0.53125,0,0.864583333,0,0,0,0,0,0,0,0,0,0
78.44,80.36,84.44,86.67,86.67,211,196,173,200,192,0,0.075,0.40625,0.125,0,0.671875,0,0,0,0,0,0,1,0,0,0
78.5,72.5,75.22,82.22,77.22,176,182,187,193,185,1,0.0875,0.3359375,0.0546875,0.1328125,0.4609375,0,0,0,0,0,1,0,0,0,0
75.6,78.5,72,78.33,77.36,190,189,180,179,178,1,0.766666667,1.09375,0.260869565,0,1.223214286,0,0,0,0,0,1,0,0,0,0
79.56,67.67,75.56,78.21,86.67,183,168,194,NA,192,1,0.614285714,0.401785714,0.157934,0.017857143,1.133928571,0,0,0,0,0,0,0,1,1,0
